chamber,wet_wt_g,temp_C,drained_wt_g,water_wt_g,water_volume_L,comments,filter_ID,filter_wt_mg,SDW_60C_plus_filter_mg,SCW_500C_plus_filter_mg,vol_filtered_ml,total_vol_ml,SDW_60C_mg,SCW_500C_mg,total_DW_g,total_AFDW_g,rock_SA_m2,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt
1,5131,13,2243,2888,2.889936257,NA,24,36.7,50.45,49.59,5,1000,13.75,12.89,2.75,0.172,0.014530157,37.4053179457799,-13.434395040534,50.8397129863139,13C,295.5797266646157,217.47277875453432,-78.1069479100814,3498.910093422521,2574.3230404034794,-924.5870530190417,ambient
2,5197,10,2352,2845,2.845996099,NA,26,36.88,78.37,75.4,14,1000,41.49,38.52,2.963571429,0.212142857,0.014530157,36.3569362405636,-7.34040173052358,43.69733797108718,10C,205.98071784753603,171.3794975456732,-34.60122030186282,3007.354839392801,2502.170915328967,-505.1839240638336,ambient
3,5097,13,2195,2902,2.903945644,"one bubble, 0.5cm dia",23,36.72,71.13,68.22,5,1000,34.41,31.5,6.882,0.582,0.014530157,34.9948270410187,-13.4621728866938,48.4569999277125,13C,83.25945004761599,60.12856879900121,-23.130881248614777,3334.9261076609496,2408.4273171321342,-926.4987905288153,ambient
4,5225,10,2364,2861,2.862001701,NA,22,36.26,95.8,94.03,5,1000,59.54,57.77,11.908,0.354,0.014530157,NA,NA,NA,10C,NA,NA,NA,NA,NA,NA,ambient
5,5294,16,2471,2823,2.826080428,NA,21,37.39,65.39,64.87,5,1000,28,27.48,5.6,0.104,0.014530157,55.3124857118161,-14.8033022554912,70.1157879673073,16C,674.1902689164164,531.850824152078,-142.33944476433848,4825.535468564262,3806.7369617421273,-1018.7985068221356,ambient
6,5463,13,2742,2721,2.722824292,NA,20,37.12,58.49,57.64,5,1000,21.37,20.52,4.274,0.17,0.014530157,46.1577719063456,-10.8441161872801,57.0018880936257,13C,335.30522408015116,271.5163053314447,-63.78891874870647,3923.0056560039716,3176.6877609337325,-746.3178950702392,ambient
7,5131,16,2265,2866,2.869127349,NA,17,37.53,70.37,69.52,5,1000,32.84,31.99,6.568,0.17,0.014530157,48.0514360996031,-12.8085988653918,60.8600349649949,16C,358.0002056764406,282.6555064682535,-75.34469920818705,4188.532509662139,3307.014239392121,-881.5182702700184,ambient
8,5371,16,2622,2749,2.75199968,2 small bubbles present,27,36.64,94.63,88.88,18,1000,57.99,52.24,3.221666667,0.319444444,0.014530157,42.7667398015654,-13.3998996038365,56.1666394054019,16C,175.82600186153778,133.87848999986176,-41.94751186167602,3865.521852613286,2943.3088576789223,-922.2129949343631,ambient
9,5261,7,2453,2808,2.808393175,2 small bubbles present,18,37.33,55.1,53.99,5,1000,17.77,16.66,3.554,0.222,0.014530157,31.5906364361747,-12.4233339101603,44.013970346335,7C,198.2611276861937,142.30016412691307,-55.96096355928063,3029.146233336295,2174.1428145734903,-855.0034187628048,ambient
10,5266,10,2463,2803,2.803981393,"2 small bubbles present, 0.5cm dia",19,37.07,51.29,50.4,5,1000,14.22,13.33,2.844,0.178,0.014530157,45.9157219561891,-5.11218234883134,51.02790430502044,10C,286.6736196911261,257.95349413589383,-28.720125555232247,3511.861868045916,3160.0293070604193,-351.83256098549657,ambient
14,5213,13,2427,2786,2.787867871,NA,25,36.22,64.98,63.8,17,1000,28.76,27.58,1.691764706,0.069411765,0.014530157,43.2691817673866,-14.6611531020916,57.9303348694782,13C,834.5895666171031,623.3695651938342,-211.2200014232688,3986.903573683216,2977.8881100449635,-1009.0154636382524,ambient
15,5264,7,2427,2837,2.837397236,NA,16,36.68,41.46,41.07,5,1000,4.78,4.39,0.956,0.078,0.014530157,25.9142551046993,-16.7519472409197,42.666202345619,7C,547.0025941746026,332.23403980383716,-214.7685543707654,2936.389630588231,1783.4807362851827,-1152.9088943030486,ambient
17,5290,10,2471,2819,2.819986995,NA,28,37.21,165.6,161.87,14,1000,128.39,124.66,9.170714286,0.266428571,0.014530157,42.4918702489316,-6.07137306836134,48.56324331729294,10C,182.2749081865283,159.48691271902516,-22.787995467503144,3342.2380306897535,2924.3916806220054,-417.84635006774806,ambient
18,5172,16,2312,2860,2.863120802,NA,14,37.22,84.93,84,5,1000,47.71,46.78,9.542,0.186,0.014530157,61.5802432217171,-15.623578381908,77.2038216036251,16C,415.07430969690915,331.0765764608446,-83.99773323606452,5313.350819514551,4238.098956653882,-1075.2518628606697,ambient
19,5372,7,2596,2776,2.776388694,NA,15,37.02,71.04,68.44,5,1000,34.02,31.42,6.804,0.52,0.014530157,34.0978371270905,-15.188278675711,49.286115802801504,7C,94.78099192846443,65.57276370594327,-29.208228222521154,3391.987836249911,2346.6943355870485,-1045.2935006628627,ambient
20,5463,7,2769,2694,2.694377213,NA,29,37.58,83.37,76.85,15,1000,45.79,39.27,3.052666667,0.434666667,0.014530157,32.5574039056554,-9.47818314891755,42.03558705457295,7C,96.70763885506994,74.90200279299401,-21.80563606207593,2892.989184808736,2240.678053627046,-652.3111311816899,ambient
