water volumes were calculated using densities corresponding to water temperatures; water densities at various temperatures were taken from https://www.engineeringtoolbox.com/water-density-specific-weight-d_595.html,,,,,,,,,,,,,,,,,
chamber,wet_wt_g,water_temp_C,drained_wt_g,water_wt_g,water_volume_L,comments,filter_ID,filter_wt_mg,SDW_60C_plus_filter_mg,SCW_500C_plus_filter_mg,vol_filtered_ml,total_vol_ml,SDW_60C_mg,SCW_500C_mg,total_DW_g,total_AFDW_g,rock_SA_m2
1,5131,13,2243,2888,2.889936257,,24,36.7,50.45,49.59,5,1000,13.75,12.89,2.75,0.172,0.014530157
2,5197,10,2352,2845,2.845996099,,26,36.88,78.37,75.4,14,1000,41.49,38.52,2.963571429,0.212142857,0.014530157
3,5097,13,2195,2902,2.903945644,"one bubble, 0.5cm dia",23,36.72,71.13,68.22,5,1000,34.41,31.5,6.882,0.582,0.014530157
4,5225,10,2364,2861,2.862001701,,22,36.26,95.8,94.03,5,1000,59.54,57.77,11.908,0.354,0.014530157
5,5294,16,2471,2823,2.826080428,,21,37.39,65.39,64.87,5,1000,28,27.48,5.6,0.104,0.014530157
6,5463,13,2742,2721,2.722824292,,20,37.12,58.49,57.64,5,1000,21.37,20.52,4.274,0.17,0.014530157
7,5131,16,2265,2866,2.869127349,,17,37.53,70.37,69.52,5,1000,32.84,31.99,6.568,0.17,0.014530157
8,5371,16,2622,2749,2.75199968,2 small bubbles present,27,36.64,94.63,88.88,18,1000,57.99,52.24,3.221666667,0.319444444,0.014530157
9,5261,7,2453,2808,2.808393175,2 small bubbles present,18,37.33,55.1,53.99,5,1000,17.77,16.66,3.554,0.222,0.014530157
10,5266,10,2463,2803,2.803981393,"2 small bubbles present, 0.5cm dia",19,37.07,51.29,50.4,5,1000,14.22,13.33,2.844,0.178,0.014530157
14,5213,13,2427,2786,2.787867871,,25,36.22,64.98,63.8,17,1000,28.76,27.58,1.691764706,0.069411765,0.014530157
15,5264,7,2427,2837,2.837397236,,16,36.68,41.46,41.07,5,1000,4.78,4.39,0.956,0.078,0.014530157
17,5290,10,2471,2819,2.819986995,,28,37.21,165.6,161.87,14,1000,128.39,124.66,9.170714286,0.266428571,0.014530157
18,5172,16,2312,2860,2.863120802,,14,37.22,84.93,84,5,1000,47.71,46.78,9.542,0.186,0.014530157
19,5372,7,2596,2776,2.776388694,,15,37.02,71.04,68.44,5,1000,34.02,31.42,6.804,0.52,0.014530157
20,5463,7,2769,2694,2.694377213,,29,37.58,83.37,76.85,15,1000,45.79,39.27,3.052666667,0.434666667,0.014530157
