chamber,drained_wt_g,filled_wt_g,water_temp_C,water_wt_g,water_volume_L,comments,tank,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,SWW_g,SDW_60C_plus_tin_g,SCW_500C_plus_tin_g,SDW_60C_g,SCW_500C_g,total_DW_g,total_AFDW_g,rock_a_axis_diameter_cm,rock_b_axis_diameter_cm,rock_c_axis_diameter_cm,rock_SA_m2,foil_wt_g,foil_SA_cm2
Chamber 1,2375,5210,,2835,2.835,,1,51.557,0.1744,0.0884,0.6147,5.845,13,0.786,2.463,2.1469,2.1238,1.3609,1.3378,28.48717877,0.483543118,9.75,8.8,4,0.011825093,0.5221,93.6224499
Chamber 2,1988,4978,,2990,2.99,,3,14.94,0.0507,0.1028,0.6336,5.8243,12,0.7956,3.0313,2.089,2.0601,1.2934,1.2645,6.374623429,0.142435919,7.7,4.2,4.7,0.006300919,0.2035,36.4914165
Chamber 3,2159,5078,,2919,2.919,,3,38.888,0.0932,0.1405,0.5311,5.0209,11,0.8097,2.6929,2.2663,2.2442,1.4566,1.4345,21.03466924,0.319144714,7.4,9.2,4.6,0.010403278,0.3652,65.4872988
Chamber 4,2525,5259,,2734,2.734,,3,43.745,0.0496,0.1155,0.501,5.148,10,0.8047,3.8588,2.5539,2.5146,1.7492,1.7099,19.82967607,0.445521535,9.5,11.75,6.7,0.01811616,0.5239,93.9452241
Chamber 5,2203,5131,,2928,2.928,,2,25.386,0.043,0.0891,0.611,5.48,9,0.7934,3.9589,2.9101,2.8641,2.1167,2.0707,13.57310015,0.294969815,11.8,6,5,0.01156687,0.284,50.926596
Chamber 6,2264,5127,,2863,2.863,,2,33.571,0.0368,0.1014,0.3987,7.5197,8,0.7946,2.9064,2.4099,2.3832,1.6153,1.5886,18.65787101,0.308404108,6.6,9.5,5.2,0.010447311,0.3941,70.6696179
Chamber 7,2235,5129,,2894,2.894,,2,31.264,0.0428,0.0894,0.7014,5.1021,7,0.8043,3.2748,2.6882,2.6521,1.8839,1.8478,17.98529669,0.344641016,6.8,7.9,5,0.009027461,0.3236,58.0276284
Chamber 8,1996,4979,,2983,2.983,,1,27.413,0.0846,0.0886,0.5119,5.3629,6,0.8113,2.3808,1.9927,1.9717,1.1814,1.1604,13.60287223,0.241798135,8,4.6,4.5,0.00667376,0.2693,48.2906067
Chamber 9,2032,5015,,2983,2.983,,1,25.224,0.0734,0.1401,0.4834,5.7155,5,0.7993,3.343,2.4955,2.4641,1.6962,1.6648,12.79836937,0.236923003,7.5,6.4,4.6,0.007956287,0.2632,47.1967608
Chamber 10,2350,5217,,2867,2.867,,3,28.836,0.0697,0.0947,0.461,4.7384,4,0.8089,2.336,2.0367,2.0115,1.2278,1.2026,15.15618185,0.311073288,9.8,8.5,4.4,0.011958724,NA,NA
Chamber 11,2204,5100,,2896,2.896,,4,31.54,0.0614,0.111,0.4926,5.1493,2,0.7905,3.1503,2.2189,2.1851,1.4284,1.3946,14.30077643,0.338396978,11.5,6.8,3.7,0.010852669,NA,NA
Chamber 12,2491,5291,,2800,2.8,,1,34.597,0.0827,0.1418,0.4617,5.1442,1,0.8025,3.8319,2.4917,2.4615,1.6892,1.659,15.25124674,0.272666145,11.3,8.4,4,0.012927692,NA,NA
Chamber 13,2085,5033,,2948,2.948,,4,24.786,0.0818,0.1053,0.4574,6.461,14,0.7853,2.2978,2.0779,2.0527,1.2926,1.2674,13.94306885,0.271828358,7.7,6.5,4.5,0.008121895,NA,NA
Chamber 14,2119,5059,,2940,2.94,,4,10.127,0.0691,0.1196,0.4834,6.0779,15,0.7805,2.2604,1.8244,1.7964,1.0439,1.0159,4.676860423,0.125445054,8,7.5,3.7,0.008572842,NA,NA
Chamber 15,2301,5163,,2862,2.862,,2,23.745,0.068,0.1723,0.4224,5.1081,16,0.8039,2.9132,2.0056,1.9702,1.2017,1.1663,9.794853254,0.288539407,9.5,7.5,4,0.010189225,NA,NA
Chamber 16,3303,5791,,2488,2.488,,4,43.672,0.0721,0.1481,0.4545,5.0942,17,0.7897,2.2448,1.6825,1.6563,0.8928,0.8666,17.36919173,0.509714184,10.5,10.5,9,0.021030697,NA,NA
