jar,treatment,temp,month,GPP,ER
A11,ambient,19.5,August,1.4666666666666728,-0.8176991150442511
A13,enriched,28.5,August,-3.1058823529412485,-0.23571428571429115
A25,enriched,25.5,August,-0.42580645161291303,-1.5931034482758686
A28,ambient,28.5,August,1.1478260869565482,0.7199999999999847
A31,ambient,25.5,August,1.5400000000000065,14.679310344827574
A35,enriched,19.5,August,-2.341935483870994,-1.060714285714326
A37,enriched,22.5,August,4.124999999999985,-0.8324324324324357
A7,ambient,22.5,August,1.999999999999993,0.5892857142856809
13,enriched,15,October,-0.1649999999999379,0.7841584158415675
15,ambient,15,October,-3.341772151898767,2.7720000000000113
28,enriched,21,October,-7.642105263157933,0.6534653465346512
45,enriched,18,October,-2.1698630136986803,-0.13200000000002063
8,ambient,24,October,-1.0421052631578727,-0.9148514851485184
A22,ambient,18,October,-3.9243243243243677,-1.4519999999999806
A38,ambient,21,October,-7.989473684210527,-1.0559999999999892
A5,enriched,24,October,-3.99473684210524,-2.1999999999999993
A13,enriched,12.5,November,-28.623157894736874,-2.275862068965492
A18,enriched,15.5,November,-10.853333333333312,-4.80000000000001
A26,ambient,9.5,November,3.696000000000015,-0.2588235294117362
A3,ambient,18.5,November,-11.33478260869559,-6.255924170616124
A34,ambient,12.5,November,-26.262500000000003,-1.8297029702970369
A36,ambient,15.5,November,-16.573333333333345,-1.3326923076923132
A38,enriched,18.5,November,-13.486956521739176,-5.790566037735858
A9,enriched,9.5,November,3.6594059405940738,-0.910344827586176
9,ambient,12,February,-1.4903225806451674,2.068656716417919
14,enriched,15,February,-1.2983606557379077,2.659701492537362
22,enriched,12,February,-1.947540983606516,1.7864661654135487
26,enriched,9,February,18.096774193548494,-3.202941176470624
29,enriched,6,February,11.104761904761856,-1.8137404580152288
40,ambient,6,February,3.8322580645162745,5.557894736842075
44,ambient,15,February,0.8655737704917079,-1.499999999999915
49,ambient,9,February,23.46666666666654,-3.813333333333304
