chamber,temp_C,total_DW_g,total_AFDW_g,rock_SA_m2,NEP_mg_d,ER_mg_d,GPP_mg_d,treatment,GPP_mgO2_d_gAFDW,NEP_mgO2_d_gAFDW,ER_mgO2_d_gAFDW,GPP_mgO2_d_m2,NEP_mgO2_d_m2,ER_mgO2_d_m2,nutrient_trt,nutrients
1,13,2.75,0.172,0.014530157,37.4053179457799,13.434395040534,50.8397129863139,13C,295.5797266646157,217.47277875453432,78.1069479100814,3498.910093422521,2574.3230404034794,924.5870530190417,ambient,0
2,10,2.963571429,0.212142857,0.014530157,36.3569362405636,7.34040173052358,43.69733797108718,10C,205.98071784753603,171.3794975456732,34.60122030186282,3007.354839392801,2502.170915328967,505.1839240638336,ambient,0
3,13,6.882,0.582,0.014530157,34.9948270410187,13.4621728866938,48.4569999277125,13C,83.25945004761599,60.12856879900121,23.130881248614777,3334.9261076609496,2408.4273171321342,926.4987905288153,ambient,0
4,10,11.908,0.354,0.014530157,NA,NA,NA,10C,NA,NA,NA,NA,NA,NA,ambient,0
5,16,5.6,0.104,0.014530157,55.3124857118161,14.8033022554912,70.1157879673073,16C,674.1902689164164,531.850824152078,142.33944476433848,4825.535468564262,3806.7369617421273,1018.7985068221356,ambient,0
6,13,4.274,0.17,0.014530157,46.1577719063456,10.8441161872801,57.0018880936257,13C,335.30522408015116,271.5163053314447,63.78891874870647,3923.0056560039716,3176.6877609337325,746.3178950702392,ambient,0
7,16,6.568,0.17,0.014530157,48.0514360996031,12.8085988653918,60.8600349649949,16C,358.0002056764406,282.6555064682535,75.34469920818705,4188.532509662139,3307.014239392121,881.5182702700184,ambient,0
8,16,3.221666667,0.319444444,0.014530157,42.7667398015654,13.3998996038365,56.1666394054019,16C,175.82600186153778,133.87848999986176,41.94751186167602,3865.521852613286,2943.3088576789223,922.2129949343631,ambient,0
9,7,3.554,0.222,0.014530157,31.5906364361747,12.4233339101603,44.013970346335,7C,198.2611276861937,142.30016412691307,55.96096355928063,3029.146233336295,2174.1428145734903,855.0034187628048,ambient,0
10,10,2.844,0.178,0.014530157,45.9157219561891,5.11218234883134,51.02790430502044,10C,286.6736196911261,257.95349413589383,28.720125555232247,3511.861868045916,3160.0293070604193,351.83256098549657,ambient,0
14,13,1.691764706,0.069411765,0.014530157,43.2691817673866,14.6611531020916,57.9303348694782,13C,834.5895666171031,623.3695651938342,211.2200014232688,3986.903573683216,2977.8881100449635,1009.0154636382524,ambient,0
15,7,0.956,0.078,0.014530157,25.9142551046993,16.7519472409197,42.666202345619,7C,547.0025941746026,332.23403980383716,214.7685543707654,2936.389630588231,1783.4807362851827,1152.9088943030486,ambient,0
17,10,9.170714286,0.266428571,0.014530157,42.4918702489316,6.07137306836134,48.56324331729294,10C,182.2749081865283,159.48691271902516,22.787995467503144,3342.2380306897535,2924.3916806220054,417.84635006774806,ambient,0
18,16,9.542,0.186,0.014530157,61.5802432217171,15.623578381908,77.2038216036251,16C,415.07430969690915,331.0765764608446,83.99773323606452,5313.350819514551,4238.098956653882,1075.2518628606697,ambient,0
19,7,6.804,0.52,0.014530157,34.0978371270905,15.188278675711,49.286115802801504,7C,94.78099192846443,65.57276370594327,29.208228222521154,3391.987836249911,2346.6943355870485,1045.2935006628627,ambient,0
20,7,3.052666667,0.434666667,0.014530157,32.5574039056554,9.47818314891755,42.03558705457295,7C,96.70763885506994,74.90200279299401,21.80563606207593,2892.989184808736,2240.678053627046,652.3111311816899,ambient,0
 1,10,28.48717877,0.483543118,0.011825093,33.9386518645626,12.1469945330879,46.0856463976505,10C,95.3082459083835,70.18743644814442,25.120809460239077,3897.2755983949132,2870.0536955237985,1027.221902871115,enriched,1
 2,13,6.374623429,0.142435919,0.006300919,41.1108290784771,15.4073987617491,56.5182278402262,13C,396.7975791290833,288.6268391224906,108.17074000659272,8969.83881878599,6524.576665479607,2445.2621533063825,enriched,1
 3,13,21.03466924,0.319144714,0.010403278,45.8565281371245,16.8053467941139,62.6618749312384,13C,196.34313896622584,143.68568904802385,52.65744991820199,6023.28178976265,4407.892217926359,1615.3895718362903,enriched,1
 4,13,19.82967607,0.445521535,0.01811616,71.3760479606442,23.6133790962414,94.9894270568856,13C,213.2095074975121,160.2078515927276,53.001655904784485,5243.353285513354,3939.910442425117,1303.4428430882372,enriched,1
 5,7,13.57310015,0.294969815,0.01156687,22.2088827205533,15.8248445578591,38.0337272784124,7C,128.94108259318804,75.29205224118712,53.64903035200093,3288.1606932914783,1920.0425629883712,1368.1181303031071,enriched,1
 6,7,18.65787101,0.308404108,0.010447311,24.531905189842,17.2683843474371,41.8002895372791,7C,135.53739542690883,79.54467710865252,55.992718318256316,4001.0572612683873,2348.154964453724,1652.9022968146633,enriched,1
 7,7,17.98529669,0.344641016,0.009027461,24.0133830249459,16.2239499978181,40.237333022764,7C,116.75143454998403,69.67650949864277,47.074925051341246,4457.214827376601,2660.0373045029933,1797.1775228736074,enriched,1
 8,10,13.60287223,0.241798135,0.00667376,51.6645539312522,20.272520388897,71.93707432014921,10C,297.50880551725186,213.66812416171945,83.84068135553238,10779.092193928042,7741.446190940669,3037.6460029873715,enriched,1
 9,10,12.79836937,0.236923003,0.007956287,25.2789917571504,12.5419448357985,37.8209365929489,10C,159.63387308976874,106.69707642170313,52.93679666806562,4753.59129113227,3177.23477762308,1576.356513509191,enriched,1
10,13,15.15618185,0.311073288,0.011958724,59.3968515124166,23.4250219192272,82.82187343164381,13C,266.24553321223715,190.94166488643216,75.30386832580494,6925.644695173482,4966.821837548605,1958.8228576248769,enriched,1
11,16,14.30077643,0.338396978,0.010852669,49.2927101548548,16.1839216942713,65.47663184912611,16C,193.49059272369183,145.66533792998234,47.825254793709476,6033.228494218897,4541.989639125159,1491.2388550937378,enriched,1
12,10,15.25124674,0.272666145,0.012927692,22.5761298419604,11.4011965143512,33.9773263563116,10C,124.61145976267643,82.79770061648247,41.813759146193966,2628.2592713619415,1746.3387774059286,881.9204939560133,enriched,1
13,16,13.94306885,0.271828358,0.008121895,51.5842956087419,18.060756208994,69.64505181773589,16C,256.20966234043874,189.7678961395996,66.44176620083914,8574.975645183284,6351.263542405054,2223.712102778231,enriched,1
14,16,4.676860423,0.125445054,0.008572842,32.7372245658,16.9984515172089,49.7356760830089,16C,396.4737906925282,260.9686354457626,135.50515524676564,5801.538869258164,3818.7131602098807,1982.8257090482828,enriched,1
15,7,9.794853254,0.288539407,0.010189225,NA,NA,NA,7C,NA,NA,NA,NA,NA,NA,enriched,1
16,16,17.36919173,0.509714184,0.021030697,93.7729541661115,18.2692014559058,112.0421556220173,16C,219.8136899835954,183.97163961619617,35.84205036739923,5327.553129695002,4458.860976700463,868.6921529945394,enriched,1
