chamber,total_chla_ug,date
1,238.8,3/1/2021
2,759.5,3/1/2021
3,182.8,3/1/2021
4,457.5,3/1/2021
5,643.1,3/1/2021
6,382.3,3/1/2021
7,212.6,3/1/2021
8,375.4,3/1/2021
9,389.9,3/1/2021
10,432.1,3/1/2021
14,337.6,3/1/2021
15,227.9,3/1/2021
17,473.6,3/1/2021
18,418,3/1/2021
19,506.3,3/1/2021
20,541.4,3/1/2021
1,69.93495713,3/15/2021
2,247.1541241,3/15/2021
3,626.6070374,3/15/2021
4,908.7767737,3/15/2021
5,831.8491873,3/15/2021
6,688.8714916,3/15/2021
7,809.2348952,3/15/2021
8,527.8614912,3/15/2021
9,572.2476221,3/15/2021
10,656.1606233,3/15/2021
11,740.3167928,3/15/2021
12,1068.254622,3/15/2021
13,621.0702924,3/15/2021
14,239.7191036,3/15/2021
15,590.349894,3/15/2021
16,743.1035516,3/15/2021
1,627.7661037,4/7/2021
2,457.0206648,4/7/2021
3,213.3991647,4/7/2021
4,582.228875,4/7/2021
5,620.1950812,4/7/2021
6,462.9102129,4/7/2021
7,285.2795874,4/7/2021
8,275.1404277,4/7/2021
9,374.9487316,4/7/2021
10,802.1251528,4/7/2021
11,415.2608121,4/7/2021
12,234.7925955,4/7/2021
13,334.7142311,4/7/2021
14,360.686466,4/7/2021
15,415.3649956,4/7/2021
16,715.3933523,4/7/2021
1,91.40987153,4/21/2021
2,94.375505,4/21/2021
3,227.3361827,4/21/2021
4,257.1033816,4/21/2021
5,94.34326459,4/21/2021
6,335.5054983,4/21/2021
7,296.8185657,4/21/2021
8,150.3422833,4/21/2021
9,231.1225334,4/21/2021
10,370.5438467,4/21/2021
11,191.7545283,4/21/2021
12,454.6443658,4/21/2021
13,227.6543942,4/21/2021
14,219.0136684,4/21/2021
15,414.6367294,4/21/2021
16,386.5372787,4/21/2021
1,58.67983245,6/13/2021
2,142.6383335,6/13/2021
3,601.1788253,6/13/2021
4,251.0010707,6/13/2021
5,392.6543447,6/13/2021
6,114.5465172,6/13/2021
7,120.0338459,6/13/2021
8,240.4538605,6/13/2021
9,121.2957474,6/13/2021
10,117.7979394,6/13/2021
11,118.2852544,6/13/2021
12,128.7761141,6/13/2021
13,175.7360649,6/13/2021
14,224.9372578,6/13/2021
15,187.3120999,6/13/2021
16,94.29774024,6/13/2021
1,221.7408573,8/8/2021
2,233.2530593,8/8/2021
3,269.8142275,8/8/2021
4,176.6014928,8/8/2021
5,298.6541364,8/8/2021
6,191.4024507,8/8/2021
7,309.6345066,8/8/2021
8,79.05531928,8/8/2021
9,249.5660146,8/8/2021
10,204.6181486,8/8/2021
11,189.8435927,8/8/2021
12,229.4827438,8/8/2021
13,194.3917307,8/8/2021
14,482.4528515,8/8/2021
15,227.29637,8/8/2021
16,247.3645005,8/8/2021
1,537.3286982,10/10/2021
2,836.858342,10/10/2021
3,616.3438414,10/10/2021
4,493.5166163,10/10/2021
5,497.7333089,10/10/2021
6,690.0806024,10/10/2021
7,536.7073445,10/10/2021
8,597.5200148,10/10/2021
9,869.7919408,10/10/2021
10,444.343309,10/10/2021
11,464.179009,10/10/2021
12,728.0363657,10/10/2021
13,754.5869893,10/10/2021
14,876.0319112,10/10/2021
15,1475.741076,10/10/2021
16,68.58695731,10/10/2021
1,262.0090607,11/28/2021
2,382.5453793,11/28/2021
3,770.2550547,11/28/2021
4,604.9971461,11/28/2021
5,354.2857305,11/28/2021
6,777.2044895,11/28/2021
7,309.5646786,11/28/2021
8,434.684287,11/28/2021
9,841.8502129,11/28/2021
10,597.2050181,11/28/2021
11,658.2369183,11/28/2021
12,834.5079807,11/28/2021
13,526.0441887,11/28/2021
14,718.8494189,11/28/2021
15,359.7883273,11/28/2021
16,776.2978854,11/28/2021
1,1607.902941,2/27/2022
2,1626.821748,2/27/2022
3,841.2481113,2/27/2022
4,2421.964322,2/27/2022
5,1192.335538,2/27/2022
6,561.7178081,2/27/2022
7,1265.125387,2/27/2022
8,1746.556204,2/27/2022
9,1467.660216,2/27/2022
10,1741.947385,2/27/2022
11,1261.795803,2/27/2022
12,1429.494133,2/27/2022
13,2421.542323,2/27/2022
14,1215.086714,2/27/2022
15,820.1399785,2/27/2022
16,892.0317288,2/27/2022
