Plot Title: Tank 1,,,"took spaces and special characters out of col names, removed logger serial number"
msmt_num,date_time_GMT_0800,temp_C,
1,12/1/2020 15:31,19.341,
2,12/1/2020 15:36,11.88,
3,12/1/2020 15:41,10.712,
4,12/1/2020 15:46,10.418,
5,12/1/2020 15:51,10.369,
6,12/1/2020 15:56,10.369,
7,12/1/2020 16:01,10.394,
8,12/1/2020 16:06,10.418,
9,12/1/2020 16:11,10.418,
10,12/1/2020 16:16,10.467,
11,12/1/2020 16:21,10.467,
12,12/1/2020 16:26,10.516,
13,12/1/2020 16:31,10.516,
14,12/1/2020 16:36,10.541,
15,12/1/2020 16:41,10.565,
16,12/1/2020 16:46,10.59,
17,12/1/2020 16:51,10.614,
18,12/1/2020 16:56,10.638,
19,12/1/2020 17:01,10.663,
20,12/1/2020 17:06,10.663,
21,12/1/2020 17:11,10.687,
22,12/1/2020 17:16,10.712,
23,12/1/2020 17:21,10.712,
24,12/1/2020 17:26,10.736,
25,12/1/2020 17:31,10.761,
26,12/1/2020 17:36,10.761,
27,12/1/2020 17:41,10.785,
28,12/1/2020 17:46,10.785,
29,12/1/2020 17:51,10.81,
30,12/1/2020 17:56,10.81,
31,12/1/2020 18:01,10.834,
32,12/1/2020 18:06,10.858,
33,12/1/2020 18:11,11.053,
34,12/1/2020 18:16,9.952,
35,12/1/2020 18:21,9.558,
36,12/1/2020 18:26,9.361,
